Designator,Mid X,Mid Y,Rotation,Layer
D9,155.956,-101.3,90.0,bottom
DS1,104.9991,-49.3575,0.0,top
F1,77.978,-59.436,270.0,bottom
F2,120.841,-44.6885,0.0,bottom
J1,110.0,-93.5,0.0,bottom
J10,221.695,-122.3,270.0,bottom
J11,166.873,-148.031,0.0,bottom
J12,71.628,-112.048,90.0,bottom
J13,108.458,-148.031,0.0,bottom
J14,189.738,-148.031,0.0,bottom
J15,210.053,-148.031,0.0,bottom
J16,151.633,-148.031,0.0,bottom
J17,83.058,-148.031,0.0,bottom
J18,133.858,-148.031,0.0,bottom
J19,104.479453,-134.100304,270.0,top
J2,67.623,-96.01,90.0,bottom
J20,180.975,-79.26,0.0,top
J21,73.375,-130.5,90.0,bottom
J3,218.8675,-81.28,180.0,bottom
J4,110.0,-127.5,0.0,bottom
J5,71.628,-48.26,180.0,bottom
J6,67.623,-83.31,90.0,bottom
J7,87.376,-76.5,270.0,bottom
J9,221.695,-137.545,270.0,bottom
JP1,118.095,-34.036,270.0,bottom
JP10,213.5755,-116.978,0.0,bottom
JP11,213.5755,-122.058,0.0,bottom
JP9,198.487,-106.172,90.0,top
L1,125.334,-34.163,180.0,bottom
L2,102.646,-46.631,90.0,bottom
L3,85.92,-46.967,90.0,bottom
L4,166.568,-132.346,90.0,bottom
L5,174.56,-49.1875,90.0,bottom
L6,176.4975,-49.1875,90.0,bottom
MK1,183.3325,-112.0,180.0,top
Q1,141.9675,-44.0515,90.0,bottom
Q2,215.8215,-39.116,0.0,bottom
Q3,123.952,-53.086,90.0,bottom
Q4,197.095806,-79.472306,180.0,bottom
Q5,160.326,-106.426,270.0,top
R1,155.04,-119.5525,270.0,bottom
R10,100.614,-56.931,180.0,bottom
R11,83.647,-56.707,180.0,bottom
R12,99.852,-59.698877,90.0,bottom
R13,101.63,-59.698877,270.0,bottom
R14,103.408,-59.698877,90.0,bottom
R15,83.126,-59.755,90.0,bottom
R16,84.904,-59.755,270.0,bottom
R17,86.682,-59.755,90.0,bottom
R18,88.46,-59.755,270.0,bottom
R19,155.04,-115.4225,270.0,bottom
R2,152.73,-119.5525,270.0,bottom
R20,152.73,-115.4225,270.0,bottom
R21,76.25,-80.75,90.0,bottom
R22,76.25,-86.0,270.0,bottom
R23,172.156,-132.346,180.0,bottom
R24,172.156,-130.314,0.0,bottom
R25,176.728,-131.572,90.0,bottom
R26,95.242,-136.346,270.0,bottom
R27,106.634,-76.642,90.0,bottom
